source_id,Institution (bolded name),Webpage,(2nd line),(3rd line),Address Line 1 (Street or Box Number),Address Line 2 (Room/Suite),City,State,Zip Code,Phone,Best email contact,Summary Description of Map Collection,Questions / Notes / Comments,Region ID,Regional Coordinator,Status,Date of last update,Addtional Note
17,Northern Arizona University,www.nau.edu/library,Cline Library,Map Collection,1001 S. Knoles Dr.,P.O. Box 6022,Flagstaff,AZ,86011-6022,928-523-2173,https://nau.edu/library/contact-us/ ,,"Looks like all the maps (even current) are now in Special Collections, delete this entry? ",9,Chris K,completed by institution,,
28,Arizona State University,https://lib.asu.edu/geo,Map and Geospatial Hub,,300 E Orange Mall,P.O. Box 871006,Tempe,AZ,85287-1006,480-727-5750,https://lib.asu.edu/geo/services,,,9,Chris K,completed by institution,,
32,University of Arizona,https://libguides.library.arizona.edu/GIS/,Library,Map Collection,1510 East University,P.O. Box 210055,Tucson,AZ,85721,520-621-6442,https://new.library.arizona.edu/contact,"The library's Map Collection is on the 1st floor of the Main Library. All of the maps held in the library are listed in library search. Most of the historic maps (pre-1930) are available by request through Special Collections, although you will find copies of some historic maps in the Map Collection.",Add a separate entry for Special Collections? ,9,Chris K,completed by institution,,
24,Phoenix Public Library,https://www.phoenixpubliclibrary.org/Locations/BurtonBarr/Pages/Arizona-Room.aspx,Burton Barr Central Library,Arizona room ,1221 North Central Avenue,,Phoenix,AZ,85007,602-262-4636,https://www.phoenixpubliclibrary.org/askus/Pages/Email-Us.aspx,"Includes Arizona 7.5 minute USGS topographic maps, Historic maps, Sanborn Fire Insurance Maps, and Phoenix aerials surveys 1968-2009",,9,Chris K,1st attempt,,"Need a library card to send a question, come back to later"
29,University of Arizona ,http://azgs.arizona.edu,Arizona Geological Survey,,1955 East 6th Street,P.O. Box 210184,Tucson,AZ,85721,520-770-3500,http://azgs.arizona.edu/ask-a-geologist,,,9,Chris K,completed by institution,,
78,San Francisco Public Library,www.sfpl.org,General Collections Department,Daniel E. Koshland San Francisco History Center ,100 Larkin Street,,San Francisco,CA,94102-4733,415-557-4401,info@sfpl.org,"The Daniel E. Koshland San Francisco History Center contains a research collection of books, newspapers and magazines, photographs, maps, posters, archives and manuscript collections, and ephemera, documenting all aspects of San Francisco life and history. The Center is also the archives for the City and County of San Francisco.",,9,Janet Reyes,completed by institution,1/27/21,Contact person is Susan Goldstein
80,San Francisco State University,https://geog.sfsu.edu/maplib,Alfred Rockwell Sumner Memorial Map Library,Department of Geography & Environment,1600 Holloway Avenue,HSS 289,San Francisco,CA,94132,415-338-1145,geog@sfsu.edu,"The Map Library houses the maps, equipment, and book collections of the Department of Geography & Environment at San Francisco State University. The Map Library is located in HSS 289.",,9,Janet Reyes,completed by institution,7/23/21,"Per dept.chair Andrew Oliphant, they hope to hire a map librarian at some point"
42,Kern County Library,www.kerncountylibrary.org,Beale Memorial Library,,701 Truxtun Avenue,,Bakersfield,CA,93301,661-868-0783,info@kernlibrary.org,"Can't find any reference to the Geology-Mining Petroleum Room, but found maps and atlases in the catalog; also seems to be maps in the local history room",,9,Janet Reyes,2nd attempt,5/10/21,contact person is Ashley Clay
49,"California State University, Chico",https://library.csuchico.edu/collections/historical-maps,Meriam Library,Special Collections,400 West First Street,,Chico,CA,95926,(530) 898-6342,specialcollections@csuchico.edu,"Several hundred rare and historical maps of the region are housed in Special Collections. The map collection includes Sanborn Fire Insurance maps, Official County  maps and surveys. Reproductions of historical BLM platts and many other  interesting and unique maps, charts, and atlases. Also has several digital collections.",,9,Janet Reyes,completed by RC,5/10/21,contact: George Thompson. Mailed link to update survey: https://survey123.arcgis.com/share/e637fda82e524eb6a2135f87768d3f99?mode=edit&globalId={C8E5B9D3-AFA2-4164-8F85-83D1DE80F7FD}  
52,"California State University, Fresno",https://library.fresnostate.edu/find/maps-and-aerial-photographs,Henry Madden Library,Map and Aerial Photographs,5200 North Barton Avenue,M/S ML34,Fresno,CA,93740-8014,559-278-2405,https://library.fresnostate.edu/info/ask-a-librarian/email-librarian,Also see libguide at http://guides.library.fresnostate.edu/c.php?g=288931&p=1927265,,9,Janet Reyes,completed by RC,5/10/21,contact: Carol Doyle. Mailed link to update survey: https://survey123.arcgis.com/share/e637fda82e524eb6a2135f87768d3f99?mode=edit&globalId={9E22509A-E981-41E8-8304-EEE93FCDEDAA} 
63,Oakland Public Library,www.oaklandlibrary.org/seasonal/sections,Government Documents,,125 14th Street,,Oakland,CA,94612,510-238-3138,eanswers@oaklandlibrary.org,"Part of their government documents, includes topographical and trail maps",,9,Janet Reyes,completed by RC,6/1/21,https://survey123.arcgis.com/share/e637fda82e524eb6a2135f87768d3f99?mode=edit&globalId={2AD071F6-7726-4077-8D8D-240019C88066}
69,California State LIbrary,https://www.library.ca.gov/government-publications/,Government Publications Sections,,914 Capitol Mall,3rd Floor,Sacramento,CA,95814,916-323-9845,https://askstatelibrary.libraryresearch.info/reft100.aspx?pmi=VU3YhEiV2U,,,9,Janet Reyes,completed by RC,6/1/21,https://survey123.arcgis.com/share/e637fda82e524eb6a2135f87768d3f99?mode=edit&globalId={D9C0451C-5CC4-49BB-8771-C024EB534E41}
70,"National Archives and Records Administration, Pacific Region, San Francisco",https://www.archives.gov/san-francisco,,,1000 Commodore Drive,,San Bruno,CA,94066-2350,650-238-3501,sanbruno.archives@nara.gov,,,9,Janet Reyes,2nd attempt,1/12/21,"closed until further notice due to pandemic 12/18/20. Stephanie Bayless, the Director, replied. They prefer not to provide a specific contact due to staff turnover."
72,California Academy of Sciences,www.calacademy.org/research/library  REPLACE WITH https://www.calacademy.org/scientists/library,Academy Library ,,"55 Music Concourse Drive
                                                        ",Golden Gate Park,San Francisco,CA,94118,415-379-8000,https://docs.google.com/forms/d/e/1FAIpQLSeJfp8exVHo4ZlGhAIGOal4SEmP6MB5qvsb_-MKGbgjMeNTLw/viewform?c=0&w=1,,,9,Janet Reyes,completed by RC,6/8/21,Survey update link: https://survey123.arcgis.com/share/e637fda82e524eb6a2135f87768d3f99?mode=edit&globalId={95C6E39D-B09D-4C3C-8916-D0B878753D63}
84,San Jose State University,https://libguides.sjsu.edu/specialcollections,Dr. Martin Luther King Jr. Library,"Charles Burdick Military Collection
                                ",1 Washington Square,,San Jose,CA,94192-0028,408-808-2000,special.collections@sjsu.edu,"The collection also includes print copies of the legal proceedings from the International Military Tribunal for the Far East, and maps of important World War II locations. The formats represented include correspondence, ephemera, maps, newspaper clippings, reports, and scrapbooks. ",MLK Jr Library a collaboration of San José State University and San José Public Library system www.sjlibrary.org,9,Janet Reyes,completed by RC,6/8/21,Contact person is Craig Simpson. Update survey https://survey123.arcgis.com/share/e637fda82e524eb6a2135f87768d3f99?mode=edit&globalId={CC21AD61-04CC-43F4-848B-DE98FB507EF6} 
85,San Leandro Library,https://www.sanleandro.org/depts/library/collection/default.asp,,,300 Estudillo Avenue,,San Leandro,CA,94577,510-577-3971,citycomments@sanleandro.org,"The San Leandro Public Library is a selective Federal Depository Library for documents published by the U.S. Superintendent of Documents. This prestigious designation gives the community access to thousands of government publications, both in print and electronically.  The basic depository collection includes the United States Code, the Code of Federal Regulations, the Congressional Record, and the Federal Register.  Additionally, the library's depository collection includes books and pamphlets on a variety of subjects such as health, employment, Social Security, business, history, and travel. The collection also has many maps, including California topographic maps and maps showing various countries.  Many government resources are also available online. ",,9,Janet Reyes,2nd attempt,6/23/21,tried reaching out to a different email address for the library
87,Santa Barbara Museum of Natural History,https://www.sbnature.org/collections-research/library/,Library & Archives ,,2559 Puesta del Sol Road,,Santa Barbara,CA,93105,805-682-4711 ,tsheridan@sbnature2.org,,Map collection?,9,Janet Reyes,2nd attempt,2/5/21,
43,Berkely Public Library,www.berkeleypubliclibrary.org,,,2090 Kittredge Street,,Berkeley,CA,94704,510-981-6100,https://www.berkeleypubliclibrary.org/about/contactus/contact-us-form,"Found maps and atlases in the library catalog, seem to be located in several locations, such as general reference and the history room",,9,Janet Reyes,completed by institution,12-03-20,
44,"University of California, Berkeley",https://www.lib.berkeley.edu/libraries/bancroft-library/collections,Bancroft Library,Map Collection,,,Berkeley,CA,94720,510-642-6481,https://www.lib.berkeley.edu/libraries/bancroft-library/reference-online,"Collection includes 23,000 maps",,9,Janet Reyes,completed by institution,3/8/21,Contact is Theresa Salazar
45,"University of California, Berkeley",www.geography.berkeley.edu,Department of Geography,Map Collection,507 McCone Hall,#4740,Berkeley,CA,94720,510-642-4368,dplum@berkeley.edu,"Includes a digitized map collection, wall maps, and maps to use for instruction",,9,Janet Reyes,completed by institution,3/1/21,Collection has downsized a lot. Contact person is Josh Mandel.
50,"Claremont University Center, Claremont Colleges",www.libraries.claremont.edu/hm,Honnold/Mudd Library,,800 North Dartmouth Ave,,Claremont,CA,91711,909-621-8045,libraryusers@claremont.edu,,,9,Janet Reyes,completed by institution,10/5/20,
51,"University of California, Davis",https://www.library.ucdavis.edu/guide/maps/,Peter J. Shields Library,Map Collection,100 NW Quad,,Davis,CA,95616,(530) 752‑1621,SpecColl@ucdavis.edu,,,9,Janet Reyes,completed by institution,3/1/21,
56,Los Angeles Public Library,https://www.lapl.org/collections-resources/research-guides/map-collection,Richard J. Riordan Central Library,History and Genealogy Department,630 West 5th Street,,Los Angeles,CA,90065,213-228-7000,https://www.lapl.org/about-lapl/contact-us,"The collection includes ~85,000 maps, some 2,000 atlases, over 1,000 gazetteers, some 20 serial titles and over one thousand books supporting the study of maps and mapping.",,9,Janet Reyes,completed by institution,11/18/20,"contact person is Glen Creason, Map Librarian"
57,Loyola Marymount University,https://library.lmu.edu/archivesandspecialcollections/,William H. Hannon Library ,Archives and Special Collections,One LMU Drive,MS 8200,Los Angeles,CA,90045-2659,310-338-5710,special.collections@lmu.edu,,,9,Janet Reyes,completed by institution,11/24/20,contact person is Cynthia Becht
59,"United States Geological Survey, Menlo Park",https://usgs.libguides.com/c.php?g=873610&p=6285558,Library,,345 Middlefield Road,MS 955,Menlo Park,CA,94025-3561,650-329-5027,men_lib@usgs.gov,,,9,Janet Reyes,completed by institution,12/4/20,
60,Mill Valley Public Library,www.millvalleylibrary.org,Lucretia Little History Room,,375 Throckmorton Avenue,,Mill Valley,CA,94941,415-389-4292,reference@cityofmillvalley.org,,,9,Janet Reyes,completed by institution,12/15/20,
61,Monterey Public Library,https://www.monterey.org/library/History-Room,California History Room,Map Collection,625 Pacific Street,,Monterey,CA,93940,831-646-3933,refdesk@monterey.org,,,9,Janet Reyes,completed by institution,10/5/20,
62,Nevada County Community Library,https://www.mynevadacounty.com/337/Doris-Foley-Library-for-Historical-Resea,Doris Foley Library for Historical Research,,211 N Pine Street,,Nevada City,CA,95959,530-265-4606,foleyhistorylibrary@co.nevada.ca.us,,,9,Janet Reyes,completed by institution,12/9/20,Laura Pappani is the current contact
64,California Institute of Technology,https://libguides.caltech.edu/geology,Geological and Planetary Sciences Library,,201 North Mudd Laboratory,,Pasadena,CA,91125,626-395-1203,https://libanswers.caltech.edu/form.php?queue_id=1252,,,9,Janet Reyes,completed by institution,12/3/20,Tony Diaz is the current contact.
66,San Mateo County History Museum,https://historysmc.org/archives,Archives,,2200 Broadway,,Redwood City,CA,94063,650-299-0104,info@historysmc.org,,,9,Janet Reyes,completed by institution,12/16/20,
68,California State Library,https://www.library.ca.gov/california-history/,California History Section,,900 N Street,Room 200,Sacramento,CA,95814-4869,916-654-0176 ,cslcal@library.ca.gov,,,9,Janet Reyes,completed by institution,12/10/20,
71,San Diego State University,https://libguides.sdsu.edu/c.php?g=560610&p=3856716,Library and Information Access,,5500 Campanile Drive,,San Diego,CA,92182-8050,619-594-6791,eref@sdsu.edu,"Links to finding maps: aerial imagery, atlases, historical maps, demographic maps, evironmental mps, gazetteers, geologic maps, nautical maps, topograpic maps, and citation guides.",,9,Janet Reyes,completed by institution,1/13/21,contact is Michael Howser
75,Presidio Trust,www.presidio.gov,National Park Service Golden Gate National Recreation Area Park Archives + Records Center,,667 McDowell Avenue,,San Francisco,CA,94129,415-561-2808,Amanda_Williford@nps.gov,Maps part of Presidio Trust Physical + Online Collection and also the National Park Service Golden Gate National Recreation Area Park Archives + Records Center,,9,Janet Reyes,completed by institution,1/13/21,survey completed by Amanda Williford
76,San Francisco Maritime National Historical Park,https://www.nps.gov/safr/learn/historyculture/research-center.htm#CP_JUMP_531426,J Porter Shaw Library,Building E Fort Mason Center,"2 Marina Boulevard, Building E",,San Francisco,CA,94123,415-561-7000,https://www.nps.gov/safr/contacts.htm,"Within the library collections are over 35,000 book and periodical titles dating from 1536 to the present, 50,000 pieces of ephemera, over 3000 maps and charts covering the Pacific Basin and the West Coast of the United States dating from 1650 to the present, audio, and video materials in multiple formats.",https://www.nps.gov/safr/learn/historyculture/research-center.htm,9,Janet Reyes,completed by institution,1/21/21,Contact person is Heather Hernandez  heather_hernandez@nps.gov
81,San Francisco State University,https://library.sfsu.edu/map-atlas-collection,J. Paul Leonard Library,Map & Atlas Collection,1630 Holloway Avenue,,San Francisco,CA,94132,415-338-1974,libref@sfsu.edu,"The collection includes: General Map Collection, Road Map File, CIA Map File, Defense Mapping Agency / Army Map Service Maps, Miscellaneous Collections",https://libguides.sfsu.edu/c.php?g=330896&p=2222288,9,Janet Reyes,completed by institution,2/1/21,Contact person is Shawn Heiser
82,History San Jose,http://historysanjose.org/wp/research-collection/research-library/,Research Library,,1650 Senter Road,,San Jose,CA,95112-2599,408-287-2290,research@historysanjose.org,"We offer a rich collection of personal papers, government and organizational records, maps, ephemera, architectural records, photographs and audiovisual material dating from the 1780s to the present. All of the materials have either been donated by individuals/organizations, or transferred from city or county government for long-term storage. provides a guide to researching your old house, and access to other records including digitized Sanborn maps. Visit in person for access to microfilmed newspapers, history books, Sanborn Maps, City Directories, yearbooks, clippings files, and more. Ffor vital records, real estate history and maps, please start at the Santa Clara County Recorder’s Office, as they also hold documents from 1851 onward.",,9,Janet Reyes,completed by institution,1/27/21,Contact person is Cate Mills
83,San Jose State University,https://libguides.sjsu.edu/c.php?g=230156&p=1527485,Map Collections ,,1 Washington Square,,San Jose,CA,95192-0028,408-808-2371,https://answers.sjlibrary.org/form.php?queue_id=1613,,,9,Janet Reyes,completed by institution,2/4/21,Contact person is Shane Curtin.
86,California Polytechnic State University,https://guides.lib.calpoly.edu/archives,Robert E. Kennedy Library,,1 Grand Avenue,Building 35,San Luis Obispo,CA,93407,805-756-5760,library@calpoly.edu,,,9,Janet Reyes,completed by institution,2/5/21,Contact is Tim Strawn
88,"University of California, Santa Barbara",https://www.library.ucsb.edu/src/maps,Library,Map and Imagery Laboratory,"University of California, Santa Barbara",,Santa Barbara,CA,93106-9010,805-893-2779,special@library.ucsb.edu,"The Map & Imagery Laboratory (MIL) was the home of the UCSB Library's geospatial data and cartographic materials collections since 1979.  During its existance, the UCSB Library became home to one of the country's largest map, aerial photograph, and GIS data collections.  Our historical aerial photograph collection is the largest such collection in any academic library. The map collection of about 500,000 sheets is principally medium and large-scale topographic sheets of physical science data and specialty mapping.  About 60,000 sheets date from before World War II. ",,9,Janet Reyes,completed by institution,2/26/21,
89,"University of California, Santa Cruz",https://guides.library.ucsc.edu/maps,Maps and Aerial Photos,,1156 High Street,,Santa Cruz,CA,95064,831-459-2364,library@ucsc.edu,"The two library buildings on campus are McHenry Library and the Science & Engineering Library. Our collections include books, journals, newspapers, maps, government documents, multimedia, digital resources, and sound recordings.  We make materials available in multiple formats to support the University's research and instructional programs. The primary emphasis for the library's circulating collection is on making the materials needed for research and instruction available for use by our primary user community (faculty, students, and staff) at their moment of need.",,9,Janet Reyes,completed by institution,3/12/21,contact person is Lucia Orlando; working on it
90,Sonoma County,https://www.sonomalibrary.org/library-collection/sonoma-county-library-map-collection,History and Genealogy Library,,725 3rd Street,,Santa Rosa,CA,95404,707-308-3212,history@sonomalibrary.org,"This collection offers a selection of historical Sonoma County maps held
 by the Sonoma County Library. It includes township maps, plat maps and 
more. We have many more maps than are viewable on this site and will be 
making additional maps available in the future.",,9,Janet Reyes,completed by institution,2/24/21,"Contacts: Joanna Kolosov, Zayda Delgado"
93,Museum of Ventura County,https://venturamuseum.org/research-library/,Research Library at the Museum,The Library Collection,100 E. Main Street,,Ventura,CA,93001,805-653-0323,library@venturamuseum.org,"Map types, many of which are unique and hand drawn, include historical plat maps, boundary maps, topographic and hydrological maps (USGS), irrigation/ditch maps, right-of way maps (railroad and highway), and land case maps (court case exhibits).",https://venturamuseum.org/library-museum-ventura-county/,9,Janet Reyes,completed by institution,2/10/21,Contact person is Deya Terrafranca
41,Humboldt State University,https://library.humboldt.edu/search/atmapcoll.html,University Library,Atlas and Map Collection,1 Harpst Street,,Arcata,CA,95521,707-826-3418,https://library.humboldt.edu/email/cm2816.html,"Includes an atlas and map collection, historic maps in Special Collections, a GIS and Digital Spatial Data research guide, and the Humboldt Data Hub  ",,9,,flagged,,
46,"University of California, Berkeley",https://www.lib.berkeley.edu/libraries/earth-sciences-library,Earth Sciences and Map Library,,50 McCone Hall,,Berkeley,CA,94720-6000,510-642-2997,eart@library.berkeley.edu,"Includes over 470,000 maps and air photos issued by local, state, and federal agencies, foreign governments, international organizations, and commercial firms.",,9,,flagged,,
47,"University of California, Riverside",https://library.ucr.edu/collections/water-resources-collections-archives,Water Resources Center Archives,Special Collections and University Archives,900 University Ave,,Riverside ,CA,92521,951-827-3233,https://library.ucr.edu/eform/submit/department-contact-form?field_department=99,,,9,,flagged,,
